Buy,Age,Gender,Married,Children,Income,Ccard,Recent,Climate,Urban
1,52 ,0,1 ,2,577,3,0,16,1
0,53 ,0,1 ,1,605,4,2,15,0
0,45 ,1,1 ,2,663,5,0,14,0
1,41 ,1,1 ,3,500,4,0,12,1
0,45 ,1,1 ,0,594,3,0,13,1
0,34 ,1,0 ,0,746,2,1,13,1
0,72 ,0,0 ,0,483,5,2,13,1
0,39 ,1,1 ,1,645,2,1,15,1
1,44 ,0,1 ,2,461,4,0,17,1
0,47 ,1,1 ,1,459,4,0,19,0
0,51 ,1,1 ,3,635,5,0,19,1
0,41 ,0,0 ,0,506,2,0,17,1
0,26 ,0,0 ,0,641,6,0,11,1
0,51 ,0,1 ,0,424,1,0,18,1
1,39 ,1,1 ,1,642,1,0,19,1
0,39 ,0,0 ,0,524,0,1,18,1
0,31 ,0,0 ,0,515,4,0,13,0
0,47 ,0,1 ,2,641,9,1,5,1
0,47 ,1,1 ,2,598,5,2,17,1
0,40 ,0,1 ,2,514,2,0,23,1
0,42 ,1,1 ,1,642,4,0,20,1
0,40 ,1,1 ,2,570,6,0,14,1
0,45 ,1,1 ,2,668,5,0,15,1
0,46 ,1,1 ,1,544,7,0,11,0
0,50 ,1,0 ,0,477,7,0,14,0
0,48 ,1,1 ,1,627,0,0,22,0
0,37 ,0,0 ,0,726,2,0,13,1
0,40 ,0,0 ,0,788,2,0,14,1
0,73 ,1,1 ,1,566,1,0,8,0
0,32 ,1,1 ,1,714,2,1,18,1
0,47 ,0,1 ,0,611,2,0,16,0
0,37 ,1,0 ,0,530,5,1,4,1
1,26 ,1,1 ,2,624,0,0,19,1
0,71 ,0,1 ,1,621,1,1,13,1
0,,0,,0,616,2,0,8,0
0,67 ,0,1 ,1,346,3,1,16,0
1,47 ,1,1 ,2,679,2,0,13,0
0,30 ,0,0 ,0,587,4,1,12,0
1,32 ,1,0 ,0,716,1,0,14,0
0,67 ,0,1 ,1,678,5,0,22,1
1,41 ,0,1 ,3,577,4,0,14,1
0,41 ,1,1 ,2,558,0,1,13,1
1,26 ,0,1 ,1,499,4,1,7,1
1,40 ,0,0 ,0,795,4,0,20,1
1,42 ,0,1 ,0,690,3,1,16,0
0,40 ,0,0 ,0,768,3,0,24,1
0,45 ,0,1 ,1,656,2,0,15,1
1,,0,,0,692,4,0,13,1
0,36 ,1,0 ,0,651,1,1,23,0
0,45 ,0,1 ,3,484,1,0,15,1
0,34 ,1,0 ,0,760,7,0,13,1
0,37 ,1,0 ,0,590,4,1,16,1
0,59 ,1,1 ,2,757,3,0,17,0
1,41 ,1,1 ,2,622,2,1,12,1
0,50 ,0,1 ,2,557,1,0,12,1
0,63 ,1,1 ,2,592,2,0,16,1
0,51 ,0,0 ,0,462,3,0,15,1
0,51 ,1,0 ,0,722,3,0,15,1
1,19 ,1,1 ,1,537,2,0,9,0
0,50 ,0,1 ,2,504,3,0,14,1
0,48 ,1,1 ,1,547,2,1,15,0
0,36 ,0,0 ,0,417,2,0,19,1
0,60 ,0,1 ,0,551,1,0,8,1
0,39 ,0,0 ,0,509,5,0,21,0
0,51 ,1,0 ,0,792,3,0,17,1
0,27 ,0,0 ,0,657,1,0,16,1
0,47 ,1,1 ,2,592,4,1,21,0
1,43 ,0,1 ,0,554,2,0,12,1
0,55 ,1,1 ,1,621,4,0,13,1
0,32 ,0,0 ,0,630,2,0,15,1
1,55 ,1,1 ,1,706,1,2,11,1
0,36 ,1,0 ,0,755,4,0,15,1
0,,0,,0,591,3,1,13,1
0,37 ,0,0 ,0,499,8,0,10,0
0,55 ,1,1 ,1,526,3,0,12,0
0,35 ,1,0 ,0,695,2,0,11,1
0,33 ,1,0 ,0,579,2,0,14,1
1,50 ,1,1 ,3,658,5,1,21,1
0,40 ,1,1 ,1,538,2,0,11,1
0,35 ,0,0 ,0,723,3,0,10,1
0,58 ,0,1 ,1,528,4,0,16,1
0,46 ,0,1 ,2,605,3,0,16,1
0,52 ,0,0 ,0,656,3,0,20,1
0,43 ,0,1 ,0,566,0,0,11,1
0,55 ,0,1 ,1,450,4,0,14,0
0,53 ,0,1 ,2,519,3,0,13,1
0,42 ,1,1 ,1,587,2,0,14,1
0,42 ,0,0 ,0,648,2,0,22,0
0,40 ,0,1 ,0,753,2,0,19,0
0,,0,,0,511,2,1,15,1
1,61 ,0,1 ,4,285,7,0,12,1
0,46 ,0,1 ,0,607,1,0,14,1
0,43 ,1,1 ,3,490,2,1,13,1
0,45 ,1,1 ,1,596,3,0,14,1
1,48 ,0,1 ,1,605,3,0,14,1
1,34 ,1,0 ,0,630,3,0,14,1
0,49 ,0,1 ,0,466,1,0,13,1
1,39 ,1,0 ,0,696,3,1,19,0
0,63 ,1,1 ,3,563,2,0,13,1
0,56 ,0,0 ,0,543,3,0,20,1
0,44 ,0,1 ,1,592,1,0,15,1
0,59 ,1,1 ,1,544,3,0,19,1
0,39 ,1,0 ,0,663,2,1,17,1
0,47 ,1,1 ,2,628,6,1,12,1
1,27 ,1,1 ,0,570,5,1,11,1
0,62 ,0,0 ,0,699,3,0,20,1
0,41 ,0,1 ,1,713,2,0,13,1
0,44 ,0,1 ,1,633,1,0,15,1
0,67 ,0,1 ,1,670,1,0,17,1
0,44 ,0,0 ,0,739,1,0,16,1
0,63 ,0,1 ,0,562,4,0,18,1
1,28 ,1,0 ,0,762,2,0,10,1
0,62 ,0,1 ,2,695,1,0,12,1
0,48 ,0,1 ,1,561,1,1,16,1
0,47 ,1,1 ,1,540,2,0,19,1
1,18 ,0,1 ,1,600,4,0,9,1
0,47 ,1,0 ,0,525,4,0,14,1
1,44 ,0,1 ,2,612,3,1,12,1
0,55 ,1,1 ,0,494,3,0,13,0
1,43 ,0,1 ,2,627,5,1,16,1
1,46 ,0,1 ,2,643,3,0,7,0
0,53 ,1,0 ,0,591,5,0,16,0
1,43 ,0,1 ,2,595,4,0,21,1
0,48 ,1,1 ,2,584,1,0,13,1
0,53 ,0,1 ,0,708,4,0,18,1
0,66 ,0,0 ,0,503,3,0,21,1
0,32 ,0,0 ,0,614,0,0,11,0
0,35 ,0,0 ,0,576,6,0,10,0
0,54 ,1,1 ,1,749,5,0,14,1
0,50 ,0,1 ,1,557,0,0,16,0
0,35 ,0,0 ,0,590,4,0,19,1
0,44 ,1,1 ,1,732,5,0,9,1
0,44 ,1,1 ,3,580,4,0,21,1
0,44 ,1,1 ,2,777,4,0,10,1
0,73 ,0,1 ,2,769,3,1,16,1
0,52 ,1,1 ,2,579,2,0,6,1
0,49 ,0,0 ,0,649,7,0,10,1
1,37 ,1,0 ,0,674,7,0,12,1
0,54 ,0,1 ,1,592,0,1,17,1
0,44 ,0,0 ,0,615,6,0,15,1
0,,0,,0,646,6,0,11,1
0,54 ,1,1 ,0,585,8,0,18,1
0,37 ,1,1 ,0,450,4,0,17,1
0,53 ,0,0 ,0,609,2,0,18,0
0,39 ,0,0 ,0,653,2,0,13,1
0,35 ,0,0 ,0,544,7,0,15,1
1,51 ,0,1 ,2,640,0,3,12,1
0,35 ,0,1 ,1,616,2,0,12,0
0,52 ,1,1 ,0,697,1,0,10,1
1,49 ,0,1 ,1,636,4,0,15,0
0,30 ,0,0 ,0,758,2,0,20,0
0,,0,,0,619,3,0,13,0
1,50 ,1,1 ,0,613,4,1,16,1
0,39 ,0,0 ,0,673,5,0,15,1
0,31 ,1,0 ,0,547,6,0,19,0
0,41 ,1,0 ,0,686,3,0,15,1
0,44 ,0,1 ,0,690,3,0,11,1
0,56 ,1,1 ,0,578,4,0,10,1
1,59 ,0,1 ,2,448,1,0,9,1
1,35 ,0,1 ,1,583,1,1,14,0
0,50 ,0,1 ,1,655,3,0,11,1
0,61 ,1,1 ,2,572,2,0,16,0
0,46 ,1,0 ,0,590,1,1,14,0
0,48 ,0,0 ,0,586,0,0,15,1
0,39 ,0,0 ,0,681,5,0,18,1
0,56 ,0,1 ,1,563,4,0,18,1
0,43 ,0,0 ,0,620,5,0,19,1
0,61 ,1,0 ,0,604,2,0,18,0
1,50 ,0,1 ,1,642,2,0,15,1
1,50 ,0,1 ,2,715,5,1,21,1
0,50 ,1,1 ,1,609,3,0,11,1
0,71 ,0,1 ,1,682,2,0,18,1
0,44 ,0,0 ,0,695,4,1,15,0
0,34 ,1,0 ,0,655,2,0,12,1
0,,0,,0,670,2,0,7,1
0,40 ,0,1 ,1,468,4,0,13,1
1,44 ,0,1 ,1,638,1,0,15,1
1,29 ,0,0 ,0,705,3,0,17,1
0,46 ,1,1 ,0,635,4,0,16,1
