x1,x2,y
-0.80341,0.64,0.0
-0.68955,-1.57,0.0
-0.45553,-0.21,0.0
0.01748,0.88,1.0
-0.35399,-1.7,0.0
-1.37495,0.39,0.0
-0.64362,-2.26,0.0
-2.2234,-1.02,0.0
0.62523,0.04,1.0
-1.60206,-1.66,0.0
-1.10438,-0.99,0.0
0.05217,-1.47,0.0
-0.73956,1.65,1.0
1.54301,0.16,1.0
-1.29286,0.57,0.0
0.26705,-0.22,1.0
-0.03928,-0.35,0.0
-1.16809,-1.62,0.0
0.52328,-0.29,1.0
-0.17155,-0.76,0.0
0.77179,0.86,1.0
0.8235,1.14,1.0
2.16324,1.47,1.0
1.33653,0.85,1.0
