y,loan,mortgage,job,workyear,delinquency,period,inquire,transact,DTI
0,3800,11543,Self,9,0,204.65,0,11,42.17
1,3900,29896,Other,11,0,146.12,0,14,24.48
1,3900,14500,Other,4,1,150.3,5,8,35.49
0,3900,52825,ProfExe,8,4,171.67,1,31,33.29
0,3900,102143,Office,2,0,85.28,0,13,29.34
1,3900,21200,Mgr,4,1,86.57,2,14,49.89
0,4000,105164,Office,1,0,94.72,0,13,29.39
0,4000,54543,Office,21,0,205.59,0,19,21.81
1,4000,63402,Other,2,2,126.53,3,12,28.04
1,4000,26572,Office,11,0,117.8,0,8,41.29
1,4000,17000,ProfExe,22,1,85.33,1,9,37.55
1,4000,29562,Other,6,0,92.13,1,26,57.9
1,4000,41700,Other,0,3,136.13,0,15,50.33
1,4000,58000,Other,4,1,168.67,0,18,32.38
1,4000,5700,Other,7,0,12.2,0,17,42.86
1,4000,45000,Mgr,4,0,162,3,16,48.71
1,4000,7000,Other,18,1,85.8,2,23,39.64
0,4000,66000,Other,2,0,279,1,6,34.44
0,4000,88757,Other,0,0,169.31,0,0,22.29
0,4000,62000,Other,4,0,109.57,0,15,40.26
0,4000,64240,Sales,5,0,160.3,1,23,27.79
1,4000,74000,ProfExe,3,3,186.63,2,9,33.03
1,4000,55000,Other,12,0,146.1,0,22,29.27
0,4000,67625,Mgr,11,1,212.35,0,25,39.13
0,4000,67533,Mgr,10,2,227.79,0,25,39.17
1,4100,73208,Other,0,0,100.77,0,19,33.84
1,4100,58500,Other,8,2,63.93,2,15,45.89
0,4100,57992,ProfExe,7,4,165.51,1,31,22.28
0,4200,56544,Office,19,0,211,1,20,19.03
1,4200,34800,Other,2,0,93.5,1,5,54.09
0,4200,67700,Sales,4,0,128.83,0,31,34.36
0,4200,44000,Other,6,1,75.43,1,16,43.47
0,4200,66272,Other,3,0,110.28,0,15,43.45
0,4200,50216,Office,19,0,209.87,0,19,20.21
0,4300,71206,Sales,3,0,129.93,0,31,34.18
0,4300,68815,Other,6,0,105.12,0,14,41.81
0,4300,72021,Other,2,0,263.97,0,5,36.43
0,4400,53969,ProfExe,7,3,162.39,0,30,23.58
0,4400,62840,Other,8,0,182.73,1,17,33.76
1,4400,53091,Office,14,3,89.86,0,17,39.16
0,4500,66127,Other,4,0,81.35,0,15,40.71
0,4500,69530,Other,10,0,204.38,1,20,25.23
1,4500,39000,Other,1,0,170.37,1,19,34.85
0,4500,71082,Other,4,0,118.76,0,14,41.42
0,4500,100221,Other,0,0,131.1,0,0,11.65
1,4500,57000,Other,5,1,222.6,1,13,36.84
1,4500,34184,Mgr,4,1,122.6,2,22,51.4
1,4500,66517,ProfExe,10,4,125.8,0,34,45.32
0,4500,45500,Other,6,0,86.17,0,18,34.6
1,4500,118000,ProfExe,4,0,203.87,1,20,40.45
1,4500,90000,Other,6,3,80.1,3,10,37.05
0,4700,67913,Mgr,2,0,142.82,0,24,35.23
0,4700,71855,Other,2,0,283.96,0,5,36.48
0,4700,53918,Other,6,0,54.14,1,15,34.42
1,4700,49100,ProfExe,0,0,61.8,2,17,33.66
0,4700,88026,ProfExe,6,0,182.25,0,27,29.21
1,4700,26900,ProfExe,9,2,90.47,1,16,47.13
0,4800,67317,Mgr,3,0,137.32,0,23,34.28
0,4800,56067,ProfExe,9,3,160.15,1,30,21.58
0,4800,80482,ProfExe,7,0,275.03,0,11,43.72
0,4900,58688,ProfExe,9,3,179.16,2,31,22.54
0,4900,65873,Mgr,2,0,141.86,0,23,37.77
1,4900,25597,Other,5,0,101.75,0,8,33.24
0,4900,67794,Other,4,0,112.57,0,15,41.67
1,4900,44000,Other,10,0,81.5,3,13,30.16
0,4900,78767,Other,11,0,211.13,1,24,31.76
0,4900,170986,Sales,11,0,131.93,0,22,35.03
1,4900,65576,Other,6,2,61.64,1,14,40.59
0,4900,57461,ProfExe,8,4,183.64,0,30,22.8
0,4900,88581,Other,10,0,155.08,1,22,33.71
0,5000,68668,Other,7,0,202.28,1,13,33.35
0,5000,47479,Other,5,0,65.03,1,16,36.7
0,5000,66839,Other,4,0,122.6,0,15,40.62
0,5000,12457,Self,9,0,207.14,0,12,44.11
0,5000,90059,ProfExe,7,0,193.64,0,28,25.9
1,5000,22320,Other,10,0,65.7,1,5,49.89
1,5000,40000,Mgr,0,0,61.77,2,8,47.12
1,5000,100882,Mgr,5,1,58.87,0,16,41.96
1,5000,31000,ProfExe,12,1,146.66,2,18,28.83
1,5000,63125,Office,3,0,100.3,0,14,47.57
1,5000,100000,Mgr,13,1,137.47,2,26,36.37
1,5000,59967,Other,18,2,121.9,0,14,28.96
1,5000,67758,Other,1,0,54.73,2,8,43.81
1,5000,34200,Other,6,0,57,1,9,33.27
1,5000,71326,Other,10,0,72.43,1,12,27.21
1,5000,123000,Mgr,9,1,132.85,2,22,27.66
1,5000,16600,Other,6,0,88.7,1,3,39.75
1,5000,74900,Other,8,1,285.33,0,6,32.32
1,5000,22700,Other,4,0,74.63,3,9,48.85
1,5000,6000,Self,7,1,335.03,3,42,32.52
1,5000,66499,Other,19,1,139.77,2,29,49.43
1,5000,66224,Other,19,1,128.84,2,18,45.13
0,5000,73126,Other,1,0,125.97,2,10,34.34
0,5000,72517,Mgr,19,1,300.37,1,24,26.82
0,5000,26037,ProfExe,12,0,182.63,0,13,29.19
0,5000,39000,Office,10,0,179.83,1,19,29.74
0,5000,81618,Other,2,0,276.97,1,14,24.46
0,5000,70470,Other,5,0,223.61,1,26,40.61
0,5000,74304,Other,3,0,266.8,1,26,26.98
0,5000,74225,ProfExe,0,0,187.56,1,25,37.37
0,5000,80311,Office,2,0,51.77,0,4,31.55
1,5000,87303,Other,10,3,107.13,10,5,42.96
0,5000,78565,ProfExe,24,0,51.77,3,14,42.78
0,5000,59900,ProfExe,15,0,219.13,1,18,41.27
1,5000,10171,Office,13,6,228.3,0,24,42.32
1,5000,78893,Mgr,16,0,133.9,1,34,53.56
1,5000,85165,Mgr,6,3,122.77,5,28,35.15
1,5000,68000,ProfExe,0,0,131.87,0,30,34.96
1,5000,71571,ProfExe,1,1,82.13,0,13,36.29
1,5000,28000,Other,2,0,222.2,1,6,33.7
1,5000,40000,Other,8,2,163.37,1,16,38.5
1,5000,81748,ProfExe,14,2,144.07,2,17,38.7
0,5000,44674,Office,10,0,178.69,1,19,26.45
1,5000,61999,Other,5,0,97.1,0,23,39.66
0,5000,80153,Other,1,0,120.68,2,10,37.51
0,5000,68739,Mgr,3,0,148.72,0,23,36.67
0,5000,51209,Other,5,1,69.11,1,15,35.03
1,5000,46696,Other,2,2,148.34,0,14,46.49
0,5000,74132,Other,2,0,257.65,0,26,40.95
0,5000,66435,Other,2,0,125.13,0,14,42.18
0,5100,179725,Sales,11,0,127.5,0,22,40.31
0,5100,85583,ProfExe,7,0,177.96,1,28,26.26
0,5100,72891,Other,1,0,273.88,0,6,39.85
1,5100,30755,Other,10,0,69,0,17,23.91
0,5100,83951,Other,1,0,258.79,0,14,26.72
0,5100,87258,ProfExe,6,0,181.66,0,28,25.44
0,5100,68453,Other,2,0,277.94,1,14,23.64
1,5100,9900,Other,11,0,21.2,0,2,35.28
0,5100,93000,Other,10,0,417.63,2,50,32.89
1,5100,15500,Other,0,2,86.23,2,13,37.15
1,5100,129319,Sales,7,0,157.86,0,36,25.65
0,5100,66834,Other,0,0,290.03,0,6,38.77
0,5100,73882,Other,0,0,125.79,1,10,34.45
0,5100,74071,Other,0,0,121.08,2,9,36.4
0,5100,62702,Other,2,0,108.07,0,15,43.29
0,5200,73534,Other,2,0,266.81,1,14,23.8
0,5200,67000,Other,9,1,119.7,0,25,27.22
0,5200,43039,Office,11,0,184.3,1,19,24.41
0,5200,19000,Other,0,0,17.2,10,7,46.24
1,5200,55711,Other,1,1,81.1,1,2,50.99
0,5200,91250,Office,24,0,123.77,1,12,44.31
0,5200,16324,Self,10,0,221.12,0,11,42.71
1,5200,40564,Other,0,0,157.77,1,13,72.67
0,5300,73698,Other,4,0,187.92,1,27,19.13
0,5300,66987,Sales,4,0,175.33,1,22,40.44
1,5300,26908,Other,9,0,302.36,0,8,39.2
0,5300,51058,Other,0,0,177.99,0,0,12.04
0,5300,44993,Office,7,0,184.74,1,18,27.91
1,5300,51000,Mgr,10,0,98.33,0,12,47.63
0,5300,75958,Other,0,0,124.18,1,10,34.6
0,5300,97132,Office,22,0,109.93,1,11,35.84
0,5300,60826,Mgr,10,1,212.89,0,25,38.59
0,5300,83552,ProfExe,0,0,223.23,1,21,28.42
0,5300,47449,Office,19,0,208.16,0,20,19.76
0,5300,50934,Office,21,0,197.24,0,20,19.35
0,5400,53429,Other,5,0,69.54,1,16,36.48
0,5400,67835,Office,1,0,40.71,0,4,37.85
0,5400,47844,Office,8,0,189.03,1,18,24.7
1,5400,45509,Sales,4,0,95.6,0,22,48.08
1,5400,59720,ProfExe,5,1,199.9,1,20,42.63
0,5400,86922,ProfExe,5,0,185.08,1,28,26.35
0,5400,68625,Sales,2,0,136.63,0,30,32.05
0,5400,65814,Other,4,0,122.94,0,15,44.09
0,5400,71872,Other,7,0,168.98,0,26,23.16
1,5400,78300,ProfExe,8,0,102.5,3,19,45.67
0,5400,48152,Other,6,0,78.45,1,16,35.76
0,5500,70481,Other,8,1,116.59,0,24,37.61
0,5500,72476,Other,9,0,162.5,1,16,35.27
0,5500,87765,ProfExe,22,0,55.56,2,13,31.38
0,5500,52897,Office,20,0,189.3,0,19,20.65
1,5500,24700,Other,1,3,153.93,3,27,43.59
1,5500,68999,Other,6,1,153.7,2,22,50.04
0,5500,43486,Other,4,0,216.13,4,30,31.33
1,5500,21359,Other,7,2,130.8,3,14,48.07
1,5500,67016,Mgr,5,1,167.37,1,8,30.44
0,5500,93051,ProfExe,6,0,187.02,1,27,27.65
0,5500,87438,ProfExe,6,0,186.42,1,27,28.42
0,5500,78059,Other,5,0,125.76,1,26,20.68
0,5500,72147,Sales,4,0,158.53,0,23,43.4
1,5500,40584,Other,4,1,136.32,0,13,34.49
1,5500,63501,Other,1,1,82.29,0,2,36.99
1,5500,37368,Mgr,9,2,49,0,10,33.13
0,5500,74327,Office,1,0,43.72,0,3,41.45
0,5500,71644,Sales,4,0,150.87,0,22,40.44
1,5500,85845,ProfExe,5,0,172.21,1,26,32.68
0,5600,53793,Office,22,0,206.1,0,19,18.37
0,5600,69435,ProfExe,14,0,200.42,1,17,22.84
0,5600,29648,ProfExe,11,0,180.56,0,13,21.55
0,5600,76407,Other,9,0,91.68,0,24,37.77
1,5600,5000,Other,31,1,204.07,0,11,30.61
1,5600,55160,Other,3,1,148.13,1,14,46.17
0,5600,41439,Office,8,0,181.32,1,19,24.65
0,5600,15275,Self,9,0,204.34,0,12,42.4
0,5700,100934,Office,23,0,117.5,0,12,38.75
0,5700,68014,Other,8,0,163.39,1,21,24.27
0,5700,49514,Office,21,0,212.54,0,21,21.26
0,5700,76948,Other,7,0,128.48,0,25,37.86
0,5700,28127,ProfExe,10,0,181.28,0,13,24.34
0,5700,75824,Office,0,0,69.65,0,4,41.19
0,5700,26927,Other,0,0,21.8,10,6,29.44
0,5700,49806,Other,3,0,210.35,3,30,31.24
1,5700,70000,Sales,0,0,95.9,1,17,28.39
1,5700,58400,ProfExe,4,0,177.5,2,26,37.94
1,5700,80437,ProfExe,10,0,104.4,0,14,28.35
1,5700,77213,Sales,0,0,97.13,1,16,41.78
0,5700,62319,Other,4,0,117.67,0,15,42.46
0,5700,71556,Other,2,0,92.64,0,15,41.21
0,5700,71525,Other,3,0,272.22,0,25,39.9
1,5700,74172,ProfExe,0,0,157.01,0,28,47.42
0,5700,28116,Other,0,0,15.4,9,7,30.02
0,5700,46820,Other,9,0,204.41,1,26,33.85
0,5700,78144,Office,1,0,48.85,0,3,38.77
0,5800,80515,Other,2,0,266.55,1,25,43.31
0,5800,78119,Other,2,0,261.41,0,26,42.19
0,5800,75000,Mgr,18,0,300.49,1,23,38.94
0,5800,79296,Mgr,19,1,307.97,1,23,39.96
1,5800,27791,Mgr,3,0,83.29,1,13,30.19
0,5800,172595,Sales,12,0,126.4,0,21,43.21
0,5800,77216,Other,8,0,153.4,1,30,34.17
0,5800,81038,Office,1,0,71.77,0,4,41.29
0,5800,46595,Other,5,0,80.13,0,17,24.14
1,5900,61838,Self,1,1,36.77,1,8,42.32
0,5900,70973,Other,7,0,120.38,0,24,41.44
1,5900,66134,Other,9,0,238.6,1,2,50.09
0,5900,82198,Other,1,0,155.77,0,0,12.75
0,5900,82912,ProfExe,2,0,127.98,1,12,27.6
1,5900,25972,Other,2,2,157.96,3,27,40.63
0,5900,74187,Other,9,1,118.44,0,24,40.11
0,5900,76597,Other,10,0,164.82,1,26,32.78
1,5900,106650,Mgr,1,6,250.57,4,23,36.18
0,6000,63476,Other,10,0,193.59,1,25,32.98
0,6000,95232,Office,22,0,149.02,1,12,37.95
1,6000,47625,Office,0,1,154.13,4,26,48.87
1,6000,24600,Other,4,1,116.1,8,34,38.88
1,6000,65000,Other,26,3,69.3,1,34,36.62
1,6000,55562,Office,13,2,122.77,2,23,37.89
1,6000,33600,Other,2,0,140.93,1,20,57.43
1,6000,42000,Other,19,0,90,2,13,42.93
1,6000,32446,Other,2,0,51.73,1,9,22.01
1,6000,9660,Other,8,1,136.3,3,6,42.22
1,6000,22859,Other,4,0,83.33,3,20,29.18
1,6000,16878,Mgr,1,1,218.6,5,34,43.3
0,6000,72951,Other,23,0,343.9,1,47,32.6
0,6000,43000,Other,2,0,101.5,1,13,35.34
0,6000,53500,Other,0,2,105.4,3,18,24.21
0,6000,69876,Other,0,1,179.57,0,32,14.55
0,6000,51000,ProfExe,6,0,222.17,2,24,33.58
0,6000,53227,Mgr,3,2,122.73,0,23,30.24
0,6000,88379,Other,6,0,100.93,1,9,34.34
0,6000,14000,Office,23,0,321.63,1,13,26.53
1,6000,40000,ProfExe,4,4,101.4,0,19,46.63
1,6000,18793,Mgr,6,3,119.7,0,8,37.36
1,6000,179397,ProfExe,5,0,90.3,6,29,28.95
1,6000,67618,Mgr,6,2,129.9,1,22,38.22
0,6000,79046,Other,0,0,181.7,0,32,37.29
0,6000,72067,Other,0,0,215.15,0,0,15.17
1,6000,66148,Other,8,1,88.48,2,22,21.94
0,6000,129731,ProfExe,12,0,213.53,0,19,39
0,6100,48500,Mgr,7,4,111.3,2,11,44.26
0,6100,79357,Other,9,0,179.81,1,26,29.54
0,6100,91704,Office,22,0,129.25,1,12,36.75
0,6100,47604,Other,5,0,70.7,0,18,24.77
0,6100,67304,Other,8,0,303,1,12,22.12
1,6100,62751,Other,1,0,138.65,1,13,31.76
0,6100,48300,Office,9,0,178.49,1,19,26.72
0,6100,68743,Sales,3,0,153.07,0,22,40.15
0,6100,79636,Other,20,0,350.44,0,47,28.85
0,6100,57655,Other,0,1,177.99,0,0,13.31
0,6100,78753,ProfExe,0,0,183.84,1,24,28.93
0,6100,77265,ProfExe,0,0,212.67,1,28,28.88
0,6200,75657,Sales,4,0,122.24,0,30,32.55
0,6200,171582,Sales,10,0,135.11,0,22,39.78
0,6200,70037,Other,9,0,139.3,1,16,34.52
0,6200,46601,Other,5,0,84.63,0,18,25.35
0,6200,60354,ProfExe,5,0,210.17,2,23,34.05
0,6200,45356,Other,2,0,201.33,4,29,29.66
0,6200,71055,Other,11,0,293.96,1,11,30.2
1,6200,57531,Self,3,1,80.5,2,17,48.17
0,6200,80893,Other,9,0,251.03,1,30,25.38
1,6200,42100,Other,8,1,164.8,1,28,29.08
0,6200,70793,Sales,3,0,162.95,0,23,40.32
0,6200,73881,Other,0,1,182.88,0,31,37.2
0,6200,45787,Other,4,1,63.12,1,16,36.54
0,6200,75121,ProfExe,0,0,219.03,1,24,27.17
0,6200,64811,Other,11,0,201.11,1,21,12.32
0,6200,133882,ProfExe,9,0,212.54,0,19,20.62
0,6200,75623,Other,24,0,324.69,0,47,28.29
0,6200,45564,Other,2,0,101.17,1,13,38.68
0,6300,99469,Office,23,0,124.75,1,12,35.64
0,6300,55000,ProfExe,13,0,130.07,0,20,42.33
0,6300,74017,Office,1,0,41.25,0,3,39.2
0,6300,44226,Other,7,0,63.63,1,16,33.11
0,6300,70367,Other,11,0,294.48,1,12,31.45
0,6300,78724,Other,24,0,335.07,1,46,31.18
1,6300,59793,Self,2,0,120.73,0,8,39.31
1,6300,65875,Mgr,1,0,84,1,12,42.92
0,6300,45582,Other,2,0,209.36,4,30,29.6
0,6300,92659,ProfExe,6,0,199.01,0,27,26.52
0,6300,58052,ProfExe,9,4,153.78,1,30,21.72
0,6300,49498,Mgr,6,4,111.21,1,10,38.58
0,6300,79667,ProfExe,1,0,181.42,1,15,29.84
1,6300,12476,Office,12,6,227.13,0,23,23.32
0,6300,69357,Sales,3,0,163.28,1,22,42.41
0,6300,26655,Other,1,0,12.76,10,6,28.36
1,6400,25144,Other,25,2,128,4,17,37.32
0,6400,99131,Other,8,0,419.38,1,50,42.24
0,6400,76577,Other,5,0,167.22,1,16,22.06
0,6400,47251,Other,0,0,104.79,1,13,36.42
0,6400,53476,ProfExe,7,3,164.32,1,30,21.14
0,6400,81116,ProfExe,8,0,262.18,0,11,42.07
0,6400,17491,Office,23,0,325.3,0,12,40.24
0,6400,65215,Mgr,9,1,213.83,0,24,40.64
0,6400,62746,ProfExe,12,0,133.1,0,20,40.19
0,6400,76732,Other,8,0,109.19,0,26,37.96
0,6400,70035,Sales,3,0,147.08,0,31,31.21
0,6400,39687,Office,9,0,177.59,1,19,26.12
0,6400,51436,Other,4,0,209.64,2,30,31.97
0,6400,44968,Other,0,0,101.39,1,12,36.6
0,6400,9113,Self,8,0,202.25,0,11,45.11
0,6400,28041,Other,1,0,10.43,10,6,29.75
0,6400,57887,Mgr,3,1,126.33,0,22,28.76
0,6500,47949,Office,9,0,180.84,1,19,27.84
0,6500,82081,Other,7,0,333.23,1,11,29.01
1,6500,60054,Other,1,0,127.06,2,21,37.8
0,6500,80739,ProfExe,1,0,164.58,1,17,30.53
0,6500,63144,Mgr,2,2,129.08,0,23,29.06
0,6500,33639,ProfExe,11,0,191.08,0,13,24.23
0,6500,78741,ProfExe,0,0,170.41,1,25,29.2
0,6500,51724,Other,4,0,209.33,4,29,30.34
1,6500,13600,Other,14,5,115.37,1,16,40.51
1,6500,48000,Other,1,0,97.3,6,38,32.5
1,6500,65000,Other,15,0,224.87,0,13,51.24
0,6500,22789,Office,1,0,110.57,2,30,50.93
0,6500,75113,Office,29,0,332.73,2,38,25.9
0,6500,55000,Office,29,0,234.4,1,17,49.42
0,6500,60000,ProfExe,9,0,54.77,2,24,35.91
0,6500,70300,Office,1,0,242.47,1,38,39.64
1,6500,96314,ProfExe,27,0,475.8,2,40,37.34
0,6500,81145,Office,29,0,327.2,1,38,34.35
0,6500,65384,Other,11,0,203.38,1,22,23.47
1,6500,183860,ProfExe,4,0,86.45,6,29,69.8
0,6500,58689,Other,0,1,94.01,2,18,34.9
0,6600,62380,Office,31,0,232.53,0,16,26.16
0,6600,74376,Other,3,0,215.39,1,19,20.03
0,6600,84091,Other,0,0,127.84,0,0,12.22
0,6600,68733,Other,5,0,96.98,0,14,42.21
0,6600,40926,Office,10,0,179.8,1,19,27.53
0,6600,95450,Office,23,0,122.82,0,12,36.77
0,6600,65585,Other,0,0,174.41,0,0,14.85
0,6600,98415,Other,11,0,423.21,2,49,40.96
0,6700,60811,Other,7,0,231.79,1,23,15.7
0,6700,55113,Other,4,0,84.42,0,17,23.64
1,6700,60301,ProfExe,5,0,195.78,0,19,32.4
0,6700,63089,Other,2,0,283.9,0,14,24.12
0,6700,49367,Other,6,0,99.3,0,17,25.23
0,6700,58741,ProfExe,9,3,173.57,1,31,23.59
1,6700,27510,Other,2,2,171.53,3,27,41.43
1,6700,55728,Other,19,1,186.34,2,20,40.89
0,6700,69773,Other,0,0,263.17,0,5,37.71
0,6700,51855,Office,21,0,193.75,0,19,19.55
0,6700,48430,Other,0,0,108.35,1,13,38.89
0,6700,29662,Office,1,0,112.14,1,30,38.53
0,6700,66587,ProfExe,9,0,43.92,1,24,39.74
1,6700,61067,Mgr,4,0,174.72,1,8,62.25
0,6700,54161,Office,20,0,209.21,0,20,20.2
0,6700,134616,ProfExe,13,0,215.42,0,19,19.49
0,6800,136951,ProfExe,11,0,219.74,1,18,20.89
0,6800,138691,ProfExe,12,0,208.42,0,19,19.33
0,6800,49809,Mgr,7,4,116.63,3,10,39.22
0,6800,78292,Other,3,0,206.89,1,15,18.93
0,6800,139578,ProfExe,12,0,201.96,0,18,22.33
0,6800,57439,Mgr,2,2,126.3,0,22,27.12
0,6800,76074,Other,22,0,341.47,0,46,27.52
1,6800,31000,Mgr,4,0,106.27,2,26,34.91
0,6800,45150,Office,4,1,94.33,3,12,39.3
0,6800,56155,Office,21,0,206.31,0,20,21.8
1,6800,68186,Mgr,6,0,2.03,1,5,40.9
0,6800,178559,Sales,7,0,127.23,0,22,42.08
0,6800,64687,Office,1,0,48.82,0,3,40.79
0,6800,71666,Other,0,1,196.46,0,31,35.76
0,6800,75964,Mgr,19,1,298.7,0,23,39.11
0,6900,75880,Office,1,0,230.81,1,38,17.97
0,6900,70717,Other,2,0,112.59,0,15,41.43
0,6900,53776,Other,5,0,87.9,0,17,22.29
1,6900,53328,Sales,2,0,101.53,0,21,35.76
1,6900,5816,Mgr,23,2,67.8,1,18,46.54
1,6900,57257,Other,10,0,138.23,0,22,38.37
1,6900,37055,Sales,1,0,122.27,2,43,37.31
0,6900,97662,Office,24,0,111.12,0,11,37.25
0,6900,49000,Other,1,0,61.9,8,22,30.29
0,6900,87450,Other,8,0,232.58,1,30,14.37
0,6900,50387,Mgr,7,3,105.83,2,10,40.72
0,6900,49932,Office,20,0,204.48,0,19,21.86
0,6900,51384,Other,4,0,224.25,3,29,30.53
0,6900,72070,Other,7,0,311.87,1,12,30.79
0,7000,98779,Other,9,0,421.54,1,49,40.83
0,7000,73873,Office,0,0,231.8,0,38,19.27
0,7000,74795,Other,1,1,175.57,0,32,34.45
0,7000,69476,Other,9,0,102.66,1,9,36.09
0,7000,78284,Other,0,1,171.84,0,31,36.25
0,7000,58128,ProfExe,5,0,213.36,2,24,34.48
0,7000,81335,Other,22,0,341.61,1,47,27.77
0,7000,52287,ProfExe,7,0,211.28,1,24,33.46
0,7000,58339,Mgr,10,1,197.34,0,24,39.84
0,7000,46238,Office,4,0,90.38,3,11,36.31
1,7000,142251,Other,5,0,87.83,4,21,22.99
1,7000,19894,Other,4,0,134.7,1,16,27.35
1,7000,27290,Office,6,1,169.48,1,22,41.23
1,7000,18000,Office,17,1,183.1,0,23,41.49
1,7000,66000,Other,3,1,242.43,0,8,36.11
1,7000,46000,Office,1,1,138.23,0,9,53.97
0,7000,120000,Other,8,0,219.17,1,20,27.37
0,7000,58843,Other,2,0,103.67,0,7,33.83
0,7000,7000,Other,5,0,265.07,0,12,37.29
0,7000,29000,Other,11,0,234.4,1,32,36.39
0,7000,5768,Other,11,0,213.94,1,26,24.87
0,7000,56636,Other,15,0,229.3,1,36,29.09
0,7000,55000,Other,5,0,84.73,3,20,48.48
0,7000,46225,Other,16,4,219.13,0,37,37.6
1,7000,53194,ProfExe,14,0,183.63,2,28,38.89
1,7000,83000,Other,6,0,141,0,10,35.22
1,7000,138841,Mgr,11,0,86.2,2,36,36.26
1,7000,38800,ProfExe,15,0,96.37,0,18,33.03
1,7000,25000,Office,1,0,139,0,13,43.64
1,7000,18000,Other,6,0,205.97,1,19,43.09
1,7000,74500,ProfExe,2,0,340.9,0,29,51.13
1,7000,64300,Other,1,0,54.83,0,8,12.39
0,7000,64255,Other,4,0,80.15,2,19,40.56
1,7000,77925,Other,20,1,159.94,2,20,40.73
0,7000,129959,ProfExe,11,0,209.99,0,18,21.92
0,7000,58114,ProfExe,6,0,200.08,1,24,31.74
0,7000,16047,Office,21,0,315.32,0,12,38.69
1,7100,39000,Other,12,1,192.77,2,31,27.72
1,7100,54000,Mgr,8,1,71,4,18,43.01
